Iter Energy Num_walker Shift
207 -9.666666666666666 9 -7.0 
208 -9.666666666666666 9 -7.0 
209 -9.666666666666666 9 -7.0 
210 -9.666666666666666 9 -7.0 
211 -10.333333333333332 10 -7.0 
212 -10.333333333333332 10 -7.0 
213 -10.333333333333332 10 -7.0 
214 -10.333333333333332 10 -7.0 
215 -10.333333333333332 11 -7.0 
216 -10.333333333333332 11 -7.0 
217 -10.333333333333332 12 -7.0 
218 -10.333333333333332 12 -7.0 
219 -10.333333333333332 12 -7.0 
220 -10.333333333333332 12 -7.0 
221 -10.333333333333332 14 -7.0 
222 -10.333333333333332 14 -7.0 
223 -10.333333333333332 15 -7.0 
224 -10.333333333333332 16 -7.0 
225 -10.333333333333332 16 -7.0 
226 -10.333333333333332 16 -7.0 
227 -10.333333333333332 16 -7.0 
228 -10.333333333333332 16 -7.0 
229 -10.333333333333332 16 -7.0 
230 -10.333333333333332 16 -7.0 
231 -11.0 17 -7.0 
232 -11.0 17 -7.0 
233 -11.0 17 -7.0 
234 -11.0 17 -7.0 
235 -11.0 17 -7.0 
236 -11.0 18 -7.0 
237 -11.0 18 -7.0 
238 -11.666666666666668 20 -7.0 
239 -11.666666666666668 21 -7.0 
240 -11.666666666666668 22 -7.0 
241 -11.666666666666668 22 -7.0 
242 -11.666666666666668 22 -7.0 
243 -11.666666666666668 22 -7.0 
244 -11.666666666666668 22 -7.0 
245 -11.666666666666668 23 -7.0 
246 -11.666666666666668 23 -7.0 
247 -11.666666666666668 23 -7.0 
248 -11.666666666666668 23 -7.0 
249 -11.666666666666668 22 -7.0 
250 -10.5 23 -7.0 
251 -10.5 23 -7.0 
252 -10.5 23 -7.0 
253 -10.5 23 -7.0 
254 -10.5 23 -7.0 
255 -11.0 24 -7.0 
256 -11.0 24 -7.0 
257 -10.5 23 -7.0 
258 -10.5 23 -7.0 
259 -11.0 24 -7.0 
260 -11.0 24 -7.0 
261 -11.0 24 -7.0 
262 -11.0 24 -7.0 
263 -11.0 24 -7.0 
264 -11.0 24 -7.0 
265 -11.0 24 -7.0 
266 -11.0 23 -7.0 
267 -11.0 23 -7.0 
268 -11.0 23 -7.0 
269 -11.0 23 -7.0 
270 -11.0 23 -7.0 
271 -11.0 24 -7.0 
272 -11.0 24 -7.0 
273 -11.0 24 -7.0 
274 -11.0 24 -7.0 
275 -10.600000000000001 26 -7.0 
276 -11.0 27 -7.0 
277 -11.0 27 -7.0 
278 -11.0 27 -7.0 
279 -11.0 27 -7.0 
280 -10.333333333333334 29 -7.0 
281 -10.333333333333334 29 -7.0 
282 -10.666666666666666 29 -7.0 
283 -11.0 30 -7.0 
284 -11.333333333333334 30 -7.0 
285 -12.0 32 -7.0 
286 -12.0 32 -7.0 
287 -12.0 32 -7.0 
288 -12.0 32 -7.0 
289 -12.0 32 -7.0 
290 -12.0 32 -7.0 
291 -12.0 32 -7.0 
292 -12.0 32 -7.0 
293 -12.0 32 -7.0 
294 -12.0 32 -7.0 
295 -12.0 32 -7.0 
296 -12.0 33 -7.0 
297 -11.999999999999998 33 -7.0 
298 -12.666666666666666 35 -7.0 
299 -11.857142857142858 36 -7.0 
300 -11.85714285714286 36 -7.0 
301 -11.857142857142858 36 -7.0 
302 -11.85714285714286 36 -7.0 
303 -11.25 37 -7.0 
304 -11.25 40 -7.0 
305 -11.0 39 -7.0 
306 -11.0 41 -7.0 
307 -11.0 41 -7.0 
308 -10.75 40 -7.0 
309 -10.75 40 -7.0 
310 -10.75 41 -7.0 
311 -10.75 41 -7.0 
312 -10.75 41 -7.0 
313 -10.75 41 -7.0 
314 -10.75 41 -7.0 
315 -10.75 41 -7.0 
316 -10.75 41 -7.0 
317 -10.333333333333332 42 -7.0 
318 -10.555555555555554 43 -7.0 
319 -10.777777777777777 45 -7.0 
320 -10.777777777777777 46 -7.0 
321 -10.777777777777777 46 -7.0 
322 -10.999999999999996 46 -7.0 
323 -10.999999999999996 46 -7.0 
324 -10.799999999999999 47 -7.0 
325 -10.999999999999998 49 -7.0 
326 -10.999999999999998 49 -7.0 
327 -10.999999999999998 49 -7.0 
328 -10.999999999999998 49 -7.0 
329 -10.999999999999998 48 -7.0 
