Iter Energy Num_walker Shift
0 -13.059003053993285 1 -7.0 
1 -13.059003053993285 1 -7.0 
2 -13.059003053993285 1 -7.0 
3 -13.059003053993285 1 -7.0 
4 -13.059003053993285 1 -7.0 
5 -13.059003053993285 1 -7.0 
6 -13.059003053993285 1 -7.0 
7 -13.059003053993285 1 -7.0 
8 -13.059003053993285 1 -7.0 
9 -13.059003053993285 1 -7.0 
10 -13.059003053993285 1 -7.0 
11 -13.059003053993285 1 -7.0 
12 -13.059003053993285 1 -7.0 
13 -13.059003053993285 1 -7.0 
14 -13.059003053993285 1 -7.0 
15 -13.059003053993285 1 -7.0 
16 -13.059003053993285 1 -7.0 
17 -13.059003053993285 1 -7.0 
18 -13.059003053993285 1 -7.0 
19 -13.059003053993285 1 -7.0 
20 -13.059003053993285 1 -7.0 
21 -13.059003053993285 1 -7.0 
22 -13.059003053993285 1 -7.0 
23 -13.059003053993285 1 -7.0 
24 -13.059003053993285 1 -7.0 
25 -13.059003053993285 1 -7.0 
26 -13.059003053993285 1 -7.0 
27 -13.059003053993285 1 -7.0 
28 -13.059003053993285 1 -7.0 
29 -13.059003053993285 1 -7.0 
30 -13.059003053993285 1 -7.0 
31 -13.059003053993285 1 -7.0 
32 -13.059003053993285 1 -7.0 
33 -13.059003053993285 1 -7.0 
34 -13.059003053993285 1 -7.0 
35 -13.059003053993285 1 -7.0 
36 -13.059003053993285 1 -7.0 
37 -13.059003053993285 1 -7.0 
38 -13.059003053993285 1 -7.0 
39 -13.059003053993285 1 -7.0 
40 -13.059003053993285 1 -7.0 
41 -13.059003053993285 1 -7.0 
42 -13.059003053993285 1 -7.0 
43 -13.059003053993285 1 -7.0 
44 -13.059003053993285 1 -7.0 
45 -13.059003053993285 1 -7.0 
46 -13.059003053993285 1 -7.0 
47 -13.059003053993285 1 -7.0 
48 -13.059003053993285 1 -7.0 
49 -13.059003053993285 1 -7.0 
50 -13.059003053993285 1 -7.0 
51 -13.059003053993285 1 -7.0 
52 -13.059003053993285 1 -7.0 
53 -13.059003053993285 1 -7.0 
54 -13.059003053993285 1 -7.0 
55 -13.059003053993285 1 -7.0 
56 -13.059003053993285 1 -7.0 
57 -13.059003053993285 1 -7.0 
58 -13.059003053993285 1 -7.0 
59 -13.059003053993285 1 -7.0 
60 -13.059003053993285 1 -7.0 
61 -13.059003053993285 1 -7.0 
62 -13.059003053993285 1 -7.0 
63 -13.059003053993285 1 -7.0 
64 -13.059003053993285 1 -7.0 
65 -13.059003053993285 1 -7.0 
66 -13.059003053993285 1 -7.0 
67 -13.059003053993285 1 -7.0 
68 -13.059003053993285 1 -7.0 
69 -13.059003053993285 1 -7.0 
70 -13.059003053993285 1 -7.0 
71 -13.059003053993285 1 -7.0 
72 -13.059003053993285 1 -7.0 
73 -13.059003053993285 1 -7.0 
74 -13.059003053993285 1 -7.0 
75 -13.059003053993285 1 -7.0 
76 -13.059003053993285 1 -7.0 
77 -13.059003053993285 1 -7.0 
78 -13.059003053993285 1 -7.0 
79 -13.059003053993285 1 -7.0 
80 -13.059003053993285 1 -7.0 
81 -13.059003053993285 1 -7.0 
82 -13.059003053993285 1 -7.0 
83 -13.059003053993285 1 -7.0 
84 -13.059003053993285 1 -7.0 
85 -13.059003053993285 1 -7.0 
86 -13.059003053993285 1 -7.0 
87 -13.059003053993285 1 -7.0 
88 -13.059003053993285 1 -7.0 
89 -13.059003053993285 1 -7.0 
90 -13.059003053993285 1 -7.0 
91 -13.059003053993285 1 -7.0 
92 -13.059003053993285 1 -7.0 
93 -13.059003053993285 1 -7.0 
94 -13.059003053993285 1 -7.0 
95 -13.07300851025804 2 -7.0 
96 -13.07300851025804 2 -7.0 
97 -13.07300851025804 2 -7.0 
98 -13.07300851025804 2 -7.0 
99 -13.07300851025804 2 -7.0 
100 -13.079661144244877 3 -7.0 
101 -13.079661144244877 3 -7.0 
102 -13.079661144244877 3 -7.0 
103 -13.079661144244877 3 -7.0 
104 -13.079661144244877 3 -7.0 
105 -13.079661144244877 3 -7.0 
106 -13.079661144244877 3 -7.0 
107 -13.079661144244877 3 -7.0 
108 -13.079661144244877 3 -7.0 
109 -13.079661144244877 3 -7.0 
110 -13.079661144244877 3 -7.0 
111 -13.079661144244877 3 -7.0 
112 -13.079661144244877 3 -7.0 
113 -13.082071285061952 4 -7.0 
114 -13.082071285061952 4 -7.0 
115 -13.082071285061952 4 -7.0 
116 -13.082071285061952 4 -7.0 
117 -13.082071285061952 4 -7.0 
118 -13.082071285061952 4 -7.0 
119 -13.082071285061952 4 -7.0 
120 -13.082071285061952 4 -7.0 
121 -13.082071285061952 4 -7.0 
122 -13.082071285061952 4 -7.0 
123 -13.082071285061952 4 -7.0 
124 -13.082071285061952 4 -7.0 
125 -13.082071285061952 4 -7.0 
126 -13.082071285061952 4 -7.0 
127 -13.082071285061952 4 -7.0 
128 -13.082071285061952 4 -7.0 
129 -13.082071285061952 4 -7.0 
130 -13.082071285061952 4 -7.0 
131 -13.082071285061952 4 -7.0 
132 -13.082071285061952 4 -7.0 
133 -13.082071285061952 4 -7.0 
134 -13.068992864087784 5 -7.0 
135 -13.068992864087788 5 -7.0 
136 -13.068992864087788 5 -7.0 
137 -13.062640119700946 4 -7.0 
138 -13.062640119700946 4 -7.0 
139 -13.062640119700946 4 -7.0 
140 -13.062640119700946 4 -7.0 
141 -13.062640119700946 4 -7.0 
142 -13.062640119700946 4 -7.0 
143 -13.062640119700946 4 -7.0 
144 -13.062640119700946 4 -7.0 
145 -13.062640119700946 4 -7.0 
146 -13.062640119700946 4 -7.0 
147 -13.062640119700946 4 -7.0 
148 -13.062640119700946 4 -7.0 
149 -13.036798601137574 6 -7.0 
150 -13.036798601137574 6 -7.0 
151 -13.036798601137574 6 -7.0 
152 -13.036798601137574 6 -7.0 
153 -13.036798601137574 6 -7.0 
154 -13.036798601137574 6 -7.0 
155 -13.036798601137574 6 -7.0 
156 -13.036798601137574 6 -7.0 
157 -13.05929846365761 7 -7.0 
158 -13.05929846365761 7 -7.0 
159 -13.05929846365761 7 -7.0 
160 -13.05929846365761 7 -7.0 
161 -13.05929846365761 7 -7.0 
162 -13.05929846365761 7 -7.0 
163 -13.05929846365761 7 -7.0 
164 -13.05929846365761 7 -7.0 
165 -13.05929846365761 7 -7.0 
166 -13.05929846365761 7 -7.0 
167 -13.05929846365761 7 -7.0 
168 -13.05929846365761 7 -7.0 
169 -13.05929846365761 7 -7.0 
170 -13.05929846365761 7 -7.0 
171 -13.05929846365761 7 -7.0 
172 -13.05929846365761 7 -7.0 
173 -13.05929846365761 7 -7.0 
174 -13.05929846365761 7 -7.0 
175 -13.05929846365761 7 -7.0 
176 -13.05929846365761 7 -7.0 
177 -13.079242065150508 7 -7.0 
178 -13.079242065150508 7 -7.0 
179 -13.079242065150508 7 -7.0 
180 -13.078012117507194 6 -7.0 
181 -13.078012117507194 6 -7.0 
182 -13.078012117507194 6 -7.0 
183 -13.078012117507194 6 -7.0 
184 -13.078012117507194 6 -7.0 
185 -13.080125878846212 7 -7.0 
186 -13.08012587884621 7 -7.0 
187 -13.080125878846212 7 -7.0 
188 -13.08012587884621 7 -7.0 
189 -13.081129306701332 8 -7.0 
190 -13.08112930670133 8 -7.0 
191 -13.08112930670133 8 -7.0 
192 -13.08112930670133 8 -7.0 
193 -13.08112930670133 8 -7.0 
194 -13.08112930670133 8 -7.0 
195 -13.08112930670133 8 -7.0 
196 -13.08112930670133 8 -7.0 
197 -13.08112930670133 8 -7.0 
198 -13.08112930670133 8 -7.0 
199 -13.08112930670133 8 -7.0 
200 -13.08112930670133 8 -7.0 
201 -13.08112930670133 8 -7.0 
202 -13.072284048969957 9 -7.0 
203 -13.072284048969957 9 -7.0 
204 -13.072284048969957 9 -7.0 
205 -13.072284048969957 9 -7.0 
206 -13.072284048969957 9 -7.0 
207 -13.072284048969957 9 -7.0 
208 -13.072284048969957 9 -7.0 
209 -13.072284048969957 9 -7.0 
210 -13.072284048969957 9 -7.0 
211 -13.074386877800286 10 -7.0 
212 -13.074386877800286 10 -7.0 
213 -13.074386877800286 10 -7.0 
214 -13.074386877800286 10 -7.0 
215 -13.059634496535905 11 -7.0 
216 -13.059634496535905 11 -7.0 
217 -13.050037233971839 12 -7.0 
218 -13.050037233971844 12 -7.0 
219 -13.050037233971839 12 -7.0 
220 -13.050037233971844 12 -7.0 
221 -13.05472238091998 14 -7.0 
222 -13.05472238091998 14 -7.0 
223 -13.211188207704716 15 -7.0 
224 -13.197329318063627 16 -7.0 
225 -13.197329318063627 16 -7.0 
226 -13.197329318063627 16 -7.0 
227 -13.197329318063627 16 -7.0 
228 -13.197329318063627 16 -7.0 
229 -13.197329318063627 16 -7.0 
230 -13.197329318063627 16 -7.0 
231 -13.18409051802245 17 -7.0 
232 -13.18409051802245 17 -7.0 
233 -13.18409051802245 17 -7.0 
234 -13.18409051802245 17 -7.0 
235 -13.18409051802245 17 -7.0 
236 -13.185976349616375 18 -7.0 
237 -13.185976349616375 18 -7.0 
238 -13.186554499628292 20 -7.0 
239 -13.186519662120576 21 -7.0 
240 -13.188777230616529 22 -7.0 
241 -13.188777230616529 22 -7.0 
242 -13.188777230616529 22 -7.0 
243 -13.188777230616529 22 -7.0 
244 -13.188777230616529 22 -7.0 
245 -13.175077766393802 23 -7.0 
246 -13.175077766393802 23 -7.0 
247 -13.175077766393802 23 -7.0 
248 -13.175077766393802 23 -7.0 
249 -13.188777230616529 22 -7.0 
250 -13.17888839834734 23 -7.0 
251 -13.17888839834734 23 -7.0 
252 -13.17888839834734 23 -7.0 
253 -13.17888839834734 23 -7.0 
254 -13.17888839834734 23 -7.0 
255 -13.177257824656449 24 -7.0 
256 -13.177257824656449 24 -7.0 
257 -13.180651552745093 23 -7.0 
258 -13.180651552745093 23 -7.0 
259 -13.168028791990908 24 -7.0 
260 -13.168028791990908 24 -7.0 
261 -13.168028791990908 24 -7.0 
262 -13.168028791990908 24 -7.0 
263 -13.168028791990908 24 -7.0 
264 -13.168028791990908 24 -7.0 
265 -13.168028791990908 24 -7.0 
266 -13.167795300897732 23 -7.0 
267 -13.167795300897732 23 -7.0 
268 -13.167795300897732 23 -7.0 
269 -13.167795300897732 23 -7.0 
270 -13.167795300897732 23 -7.0 
271 -13.181941589069881 24 -7.0 
272 -13.18194158906988 24 -7.0 
273 -13.181941589069881 24 -7.0 
274 -13.18194158906988 24 -7.0 
275 -13.172017525000454 26 -7.0 
276 -13.16934420550623 27 -7.0 
277 -13.169344205506228 27 -7.0 
278 -13.16934420550623 27 -7.0 
279 -13.169344205506228 27 -7.0 
280 -13.150553856556572 29 -7.0 
281 -13.150553856556572 29 -7.0 
282 -13.16149629017118 29 -7.0 
283 -13.154979371297687 30 -7.0 
284 -13.146469217140076 30 -7.0 
285 -13.135845759551591 32 -7.0 
286 -13.135845759551591 32 -7.0 
287 -13.135845759551591 32 -7.0 
288 -13.135845759551591 32 -7.0 
289 -13.135845759551591 32 -7.0 
290 -13.135845759551591 32 -7.0 
291 -13.135845759551591 32 -7.0 
