Iter Energy Num_walker Shift
0 -676.4562592068932 1 -676.4424852375571 
1 -676.4562592068932 1 -676.4424852375571 
2 -676.4562592068932 1 -676.4424852375571 
3 -676.4562592068932 1 -676.4424852375571 
4 -676.4562592068932 1 -676.4424852375571 
5 -676.4562592068932 1 -676.4424852375571 
6 -676.4562592068932 1 -676.4424852375571 
7 -676.4562592068932 1 -676.4424852375571 
8 -676.4562592068932 1 -676.4424852375571 
9 -676.4562592068932 1 -676.4424852375571 
10 -676.4562592068932 1 -676.4424852375571 
11 -676.4562592068932 1 -676.4424852375571 
12 -676.4562592068932 1 -676.4424852375571 
13 -676.4791922109587 2 -676.4424852375571 
14 -676.4791922109587 2 -676.4424852375571 
15 -676.4791922109587 2 -676.4424852375571 
16 -676.5011194736607 3 -676.4424852375571 
17 -676.5011194736607 3 -676.4424852375571 
18 -676.5011194736607 3 -676.4424852375571 
19 -676.5183502790845 4 -676.4424852375571 
20 -676.5183502790845 4 -676.4424852375571 
21 -676.5192818407671 6 -676.4424852375571 
22 -676.5192818407671 6 -676.4424852375571 
23 -676.5192818407671 6 -676.4424852375571 
24 -676.5192818407671 6 -676.4424852375571 
25 -676.5182232863057 7 -676.4424852375571 
26 -676.5145464326771 9 -676.4424852375571 
27 -676.5145464326771 9 -676.4424852375571 
28 -676.5154876242792 10 -676.4424852375571 
29 -676.4928340023085 10 -676.4424852375571 
30 -676.497061353358 10 -676.4424852375571 
31 -676.4969984006373 10 -676.4424852375571 
32 -676.4956709624074 11 -676.4424852375571 
33 -676.4891741073769 15 -676.4424852375571 
34 -676.4770335587837 17 -676.4424852375571 
35 -676.4770335587837 17 -676.4424852375571 
36 -676.4774363381138 18 -676.4424852375571 
37 -676.4818147496343 17 -676.4424852375571 
38 -676.4920476111893 20 -676.4424852375571 
39 -676.4542210972278 16 -676.4424852375571 
40 -676.4698263900698 15 -676.4424852375571 
41 -676.4740693237163 14 -676.4424852375571 
42 -676.4523489423475 14 -676.4424852375571 
43 -676.4523489423475 14 -676.4424852375571 
44 -676.4590172096372 14 -676.4424852375571 
45 -676.4243097332876 16 -676.4424852375571 
46 -676.4243097332876 16 -676.4424852375571 
47 -676.4137390632404 15 -676.4424852375571 
48 -676.4137390632404 15 -676.4424852375571 
49 -676.4137390632404 15 -676.4424852375571 
50 -676.4346122507441 14 -676.4424852375571 
51 -676.4390229690612 18 -676.4424852375571 
52 -676.4390229690612 18 -676.4424852375571 
53 -676.4332707278787 17 -676.4424852375571 
54 -676.4332707278787 17 -676.4424852375571 
55 -676.4563649517058 17 -676.4424852375571 
56 -676.4563649517054 17 -676.4424852375571 
57 -676.4563649517058 17 -676.4424852375571 
58 -676.4570988987373 16 -676.4424852375571 
59 -676.4680492782279 16 -676.4424852375571 
60 -676.4683264928277 17 -676.4424852375571 
61 -676.4683264928277 17 -676.4424852375571 
62 -676.4683264928277 17 -676.4424852375571 
63 -676.4668294191805 18 -676.4424852375571 
64 -676.4687907908008 19 -676.4424852375571 
65 -676.4698175552998 21 -676.4424852375571 
66 -676.4618053994809 22 -676.4424852375571 
67 -676.4612972179256 25 -676.4424852375571 
