Iter Energy Num_walker Shift
0 -23.324793209166952 1 -7.0 
1 -23.324793209166952 1 -7.0 
2 -23.324793209166952 1 -7.0 
3 -23.324793209166952 1 -7.0 
4 -23.324793209166952 1 -7.0 
5 -23.324793209166952 1 -7.0 
6 -23.324793209166952 1 -7.0 
7 -23.324793209166952 1 -7.0 
8 -23.324793209166952 1 -7.0 
9 -23.324793209166952 1 -7.0 
10 -23.324793209166952 1 -7.0 
11 -23.324793209166952 1 -7.0 
12 -23.324793209166952 1 -7.0 
13 -23.324793209166952 1 -7.0 
14 -23.324793209166952 1 -7.0 
15 -23.324793209166952 1 -7.0 
16 -23.324793209166952 1 -7.0 
17 -23.324793209166952 1 -7.0 
18 -23.324793209166952 1 -7.0 
19 -23.324793209166952 1 -7.0 
20 -23.324793209166952 1 -7.0 
21 -23.324793209166952 1 -7.0 
22 -23.324793209166952 1 -7.0 
23 -23.324793209166952 1 -7.0 
24 -23.324793209166952 1 -7.0 
25 -23.324793209166952 1 -7.0 
26 -23.324793209166952 1 -7.0 
27 -23.324793209166952 1 -7.0 
28 -23.324793209166952 1 -7.0 
29 -23.324793209166952 1 -7.0 
30 -23.324793209166952 1 -7.0 
31 -23.324793209166952 1 -7.0 
32 -23.324793209166952 1 -7.0 
33 -23.324793209166952 1 -7.0 
34 -23.324793209166952 1 -7.0 
35 -23.324793209166952 1 -7.0 
36 -23.324793209166952 1 -7.0 
37 -23.324793209166952 1 -7.0 
38 -23.324793209166952 1 -7.0 
39 -23.324793209166952 1 -7.0 
40 -23.324793209166952 1 -7.0 
41 -23.324793209166952 1 -7.0 
42 -23.324793209166952 1 -7.0 
43 -23.324793209166952 1 -7.0 
44 -23.324793209166952 1 -7.0 
45 -23.324793209166952 1 -7.0 
46 -23.324793209166952 1 -7.0 
47 -23.324793209166952 1 -7.0 
48 -23.324793209166952 1 -7.0 
49 -23.324793209166952 1 -7.0 
50 -23.324793209166952 1 -7.0 
51 -23.324793209166952 1 -7.0 
52 -23.324793209166952 1 -7.0 
53 -23.324793209166952 1 -7.0 
54 -23.324793209166952 1 -7.0 
55 -23.324793209166952 1 -7.0 
56 -23.324793209166952 1 -7.0 
57 -23.324793209166952 1 -7.0 
58 -23.324793209166952 1 -7.0 
59 -23.324793209166952 1 -7.0 
60 -23.324793209166952 1 -7.0 
61 -23.324793209166952 1 -7.0 
62 -23.324793209166952 1 -7.0 
63 -23.324793209166952 1 -7.0 
64 -23.324793209166952 1 -7.0 
65 -23.324793209166952 1 -7.0 
66 -23.324793209166952 1 -7.0 
67 -23.324793209166952 1 -7.0 
68 -23.324793209166952 1 -7.0 
69 -23.324793209166952 1 -7.0 
70 -23.324793209166952 1 -7.0 
71 -23.324793209166952 1 -7.0 
72 -23.324793209166952 1 -7.0 
73 -23.324793209166952 1 -7.0 
74 -23.324793209166952 1 -7.0 
75 -23.324793209166952 1 -7.0 
76 -23.324793209166952 1 -7.0 
77 -23.324793209166952 1 -7.0 
78 -23.324793209166952 1 -7.0 
79 -23.324793209166952 1 -7.0 
80 -23.324793209166952 1 -7.0 
81 -23.324793209166952 1 -7.0 
82 -23.324793209166952 1 -7.0 
83 -23.324793209166952 1 -7.0 
84 -23.324793209166952 1 -7.0 
85 -23.324793209166952 1 -7.0 
86 -23.324793209166952 1 -7.0 
87 -23.324793209166952 1 -7.0 
88 -23.324793209166952 1 -7.0 
89 -23.324793209166952 1 -7.0 
90 -23.324793209166952 1 -7.0 
91 -23.324793209166952 1 -7.0 
92 -23.324793209166952 1 -7.0 
93 -23.324793209166952 1 -7.0 
94 -23.324793209166952 1 -7.0 
95 -18.134339337452413 2 -7.0 
96 -18.134339337452413 2 -7.0 
97 -18.134339337452413 2 -7.0 
98 -18.134339337452413 2 -7.0 
99 -18.134339337452413 2 -7.0 
100 -16.768686997427736 3 -7.0 
101 -16.768686997427736 3 -7.0 
102 -16.768686997427736 3 -7.0 
103 -16.768686997427736 3 -7.0 
104 -16.768686997427736 3 -7.0 
105 -16.768686997427736 3 -7.0 
106 -16.768686997427736 3 -7.0 
107 -16.768686997427736 3 -7.0 
108 -16.768686997427736 3 -7.0 
109 -16.768686997427736 3 -7.0 
110 -16.768686997427736 3 -7.0 
111 -16.768686997427736 3 -7.0 
112 -16.768686997427736 3 -7.0 
113 -17.359486074546815 4 -7.0 
114 -17.35948607454682 4 -7.0 
115 -17.35948607454682 4 -7.0 
116 -17.35948607454682 4 -7.0 
117 -17.35948607454682 4 -7.0 
118 -17.35948607454682 4 -7.0 
119 -17.35948607454682 4 -7.0 
120 -17.35948607454682 4 -7.0 
121 -17.35948607454682 4 -7.0 
122 -17.35948607454682 4 -7.0 
123 -17.35948607454682 4 -7.0 
124 -17.35948607454682 4 -7.0 
125 -17.35948607454682 4 -7.0 
126 -17.35948607454682 4 -7.0 
127 -17.35948607454682 4 -7.0 
128 -17.35948607454682 4 -7.0 
129 -17.35948607454682 4 -7.0 
130 -17.35948607454682 4 -7.0 
131 -17.35948607454682 4 -7.0 
132 -17.35948607454682 4 -7.0 
133 -17.35948607454682 4 -7.0 
134 -15.661398446406126 5 -7.0 
135 -15.661398446406126 5 -7.0 
136 -15.661398446406126 5 -7.0 
137 -15.962961030842308 4 -7.0 
138 -15.962961030842308 4 -7.0 
139 -15.962961030842308 4 -7.0 
140 -15.962961030842308 4 -7.0 
141 -15.962961030842308 4 -7.0 
142 -15.962961030842308 4 -7.0 
143 -15.962961030842308 4 -7.0 
144 -15.962961030842308 4 -7.0 
145 -15.962961030842308 4 -7.0 
146 -15.962961030842308 4 -7.0 
147 -15.962961030842308 4 -7.0 
148 -15.962961030842308 4 -7.0 
149 -15.559763086338288 6 -7.0 
150 -15.559763086338288 6 -7.0 
151 -15.559763086338288 6 -7.0 
152 -15.559763086338288 6 -7.0 
153 -15.559763086338288 6 -7.0 
154 -15.559763086338288 6 -7.0 
155 -15.559763086338288 6 -7.0 
156 -15.559763086338288 6 -7.0 
157 -15.469675111173755 7 -7.0 
158 -15.469675111173755 7 -7.0 
159 -15.469675111173755 7 -7.0 
160 -15.469675111173755 7 -7.0 
161 -15.469675111173755 7 -7.0 
162 -15.469675111173755 7 -7.0 
163 -15.469675111173755 7 -7.0 
164 -15.469675111173755 7 -7.0 
165 -15.469675111173755 7 -7.0 
166 -15.469675111173755 7 -7.0 
167 -15.469675111173755 7 -7.0 
168 -15.469675111173755 7 -7.0 
169 -15.469675111173755 7 -7.0 
170 -15.469675111173755 7 -7.0 
171 -15.469675111173755 7 -7.0 
172 -15.469675111173755 7 -7.0 
173 -15.469675111173755 7 -7.0 
174 -15.469675111173755 7 -7.0 
175 -15.469675111173755 7 -7.0 
176 -15.469675111173755 7 -7.0 
177 -17.290625011234457 7 -7.0 
178 -17.290625011234457 7 -7.0 
179 -17.290625011234457 7 -7.0 
180 -17.045742440697104 6 -7.0 
181 -17.045742440697108 6 -7.0 
182 -17.045742440697104 6 -7.0 
183 -17.045742440697108 6 -7.0 
184 -17.045742440697104 6 -7.0 
185 -16.702582858512827 7 -7.0 
186 -16.702582858512827 7 -7.0 
187 -16.702582858512827 7 -7.0 
188 -16.702582858512827 7 -7.0 
189 -16.92900163737896 8 -7.0 
190 -16.929001637378956 8 -7.0 
191 -16.929001637378956 8 -7.0 
192 -16.929001637378956 8 -7.0 
