Iter Energy Num_walker Shift
0 -3.8972653058516706 1 -3.8972653058516706 
1 -3.8972653058516706 1 -3.8972653058516706 
2 -3.8972653058516706 1 -3.8972653058516706 
3 -3.8972653058516706 1 -3.8972653058516706 
4 -3.8972653058516706 1 -3.8972653058516706 
5 -3.8972653058516706 1 -3.8972653058516706 
6 -3.8972653058516706 1 -3.8972653058516706 
7 -3.8972653058516706 1 -3.8972653058516706 
8 -3.8972653058516706 1 -3.8972653058516706 
9 -3.8972653058516706 1 -3.8972653058516706 
10 -3.988533892228326 2 -3.8972653058516706 
11 -3.988533892228326 2 -3.8972653058516706 
12 -3.988533892228326 2 -3.8972653058516706 
13 -3.988533892228326 2 -3.8972653058516706 
14 -3.988533892228326 2 -3.8972653058516706 
15 -3.988533892228326 2 -3.8972653058516706 
16 -3.988533892228326 2 -3.8972653058516706 
17 -3.988533892228326 2 -3.8972653058516706 
18 -3.988533892228326 2 -3.8972653058516706 
19 -3.988533892228326 2 -3.8972653058516706 
20 -3.988533892228326 2 -3.8972653058516706 
21 -3.988533892228326 2 -3.8972653058516706 
22 -3.988533892228326 2 -3.8972653058516706 
23 -3.988533892228326 2 -3.8972653058516706 
24 -3.988533892228326 2 -3.8972653058516706 
25 -3.988533892228326 2 -3.8972653058516706 
26 -3.988533892228326 2 -3.8972653058516706 
27 -3.988533892228326 2 -3.8972653058516706 
28 -3.988533892228326 2 -3.8972653058516706 
29 -3.988533892228326 2 -3.8972653058516706 
30 -4.077640928428086 3 -3.8972653058516706 
31 -3.988533892228326 2 -3.8972653058516706 
32 -3.988533892228326 2 -3.8972653058516706 
33 -3.988533892228326 2 -3.8972653058516706 
34 -3.988533892228326 2 -3.8972653058516706 
35 -3.988533892228326 2 -3.8972653058516706 
36 -3.988533892228326 2 -3.8972653058516706 
37 -3.988533892228326 2 -3.8972653058516706 
38 -3.988533892228326 2 -3.8972653058516706 
39 -4.21418116755601 4 -3.8972653058516706 
40 -4.075571369701745 3 -3.8972653058516706 
41 -4.164678405901505 4 -3.8972653058516706 
42 -4.21418116755601 5 -3.8972653058516706 
43 -4.21418116755601 5 -3.8972653058516706 
44 -4.21418116755601 5 -3.8972653058516706 
45 -4.21418116755601 5 -3.8972653058516706 
46 -4.354860524136616 6 -3.8972653058516706 
47 -4.305357762482111 5 -3.8972653058516706 
48 -4.216250726282351 4 -3.8972653058516706 
49 -4.305357762482111 5 -3.8972653058516706 
50 -4.216250726282351 4 -3.8972653058516706 
51 -4.216250726282351 4 -3.8972653058516706 
52 -4.216250726282351 4 -3.8972653058516706 
53 -4.216250726282351 4 -3.8972653058516706 
54 -4.216250726282351 4 -3.8972653058516706 
55 -4.216250726282351 4 -3.8972653058516706 
56 -4.216250726282351 4 -3.8972653058516706 
57 -4.216250726282351 4 -3.8972653058516706 
58 -4.30328820375577 5 -3.8972653058516706 
59 -4.30328820375577 5 -3.8972653058516706 
60 -4.303288203755769 7 -3.8972653058516706 
61 -4.303288203755769 7 -3.8972653058516706 
62 -4.303288203755769 7 -3.8972653058516706 
63 -4.533166587986691 8 -3.8972653058516706 
64 -4.3505086849700145 9 -3.8972653058516706 
65 -4.2118988871157494 10 -3.8972653058516706 
66 -4.060357315618314 11 -3.8972653058516706 
67 -4.149464351818074 12 -3.8972653058516706 
68 -4.1989671134725794 10 -3.8972653058516706 
69 -4.111929635999161 9 -3.8972653058516706 
70 -3.8875059082603354 9 -3.8972653058516706 
71 -3.8875059082603354 9 -3.8972653058516706 
72 -3.892385607056003 10 -3.8972653058516706 
73 -3.892385607056003 10 -3.8972653058516706 
74 -3.892385607056003 10 -3.8972653058516706 
75 -3.86763422622875 9 -3.8972653058516706 
76 -4.105119637501386 10 -3.8972653058516706 
77 -4.197529364098172 10 -3.8972653058516706 
78 -4.322802911501395 12 -3.8972653058516706 
79 -4.322802911501395 13 -3.8972653058516706 
80 -4.298051530674142 13 -3.8972653058516706 
81 -4.253498012574262 14 -3.8972653058516706 
82 -4.228746631747009 13 -3.8972653058516706 
83 -4.298051530674142 14 -3.8972653058516706 
84 -4.273300149846889 15 -3.8972653058516706 
85 -4.408041479234978 16 -3.8972653058516706 
86 -4.383290098407725 18 -3.8972653058516706 
87 -4.194142759535784 14 -3.8972653058516706 
88 -4.149589241435903 13 -3.8972653058516706 
89 -4.173728848468727 13 -3.8972653058516706 
90 -4.26886590331156 15 -3.8972653058516706 
91 -4.481599933756943 18 -3.8972653058516706 
92 -5.055072346745388 17 -3.8972653058516706 
93 -4.845353074073055 17 -3.8972653058516706 
