Iter Energy Num_walker Shift
0 -4.095617079346117 1 -3.8972653058516706 
1 -4.095617079346117 1 -3.8972653058516706 
2 -4.095617079346117 1 -3.8972653058516706 
3 -4.095617079346117 1 -3.8972653058516706 
4 -4.095617079346117 1 -3.8972653058516706 
5 -4.095617079346117 1 -3.8972653058516706 
6 -4.095617079346117 1 -3.8972653058516706 
7 -4.095617079346117 1 -3.8972653058516706 
8 -4.095617079346117 1 -3.8972653058516706 
9 -4.095617079346117 1 -3.8972653058516706 
10 -4.060810036664225 2 -3.8972653058516706 
11 -4.060810036664225 2 -3.8972653058516706 
12 -4.060810036664225 2 -3.8972653058516706 
13 -4.060810036664225 2 -3.8972653058516706 
14 -4.060810036664225 2 -3.8972653058516706 
15 -4.060810036664225 2 -3.8972653058516706 
16 -4.060810036664225 2 -3.8972653058516706 
17 -4.060810036664225 2 -3.8972653058516706 
18 -4.060810036664225 2 -3.8972653058516706 
19 -4.060810036664225 2 -3.8972653058516706 
20 -4.060810036664225 2 -3.8972653058516706 
21 -4.060810036664225 2 -3.8972653058516706 
22 -4.060810036664225 2 -3.8972653058516706 
23 -4.060810036664225 2 -3.8972653058516706 
24 -4.060810036664225 2 -3.8972653058516706 
25 -4.060810036664225 2 -3.8972653058516706 
26 -4.060810036664225 2 -3.8972653058516706 
27 -4.060810036664225 2 -3.8972653058516706 
28 -4.060810036664225 2 -3.8972653058516706 
29 -4.060810036664225 2 -3.8972653058516706 
30 -4.1064762930073115 3 -3.8972653058516706 
31 -4.060810036664225 2 -3.8972653058516706 
32 -4.060810036664225 2 -3.8972653058516706 
33 -4.060810036664225 2 -3.8972653058516706 
34 -4.060810036664225 2 -3.8972653058516706 
35 -4.060810036664225 2 -3.8972653058516706 
36 -4.060810036664225 2 -3.8972653058516706 
37 -4.060810036664225 2 -3.8972653058516706 
38 -4.060810036664225 2 -3.8972653058516706 
39 -4.110510135316671 4 -3.8972653058516706 
40 -4.045453052649754 3 -3.8972653058516706 
41 -4.082283310187324 4 -3.8972653058516706 
42 -4.126158849910841 5 -3.8972653058516706 
43 -4.126158849910841 5 -3.8972653058516706 
44 -4.126158849910841 5 -3.8972653058516706 
45 -4.126158849910841 5 -3.8972653058516706 
46 -4.242301374641894 6 -3.8972653058516706 
47 -4.199644471214618 5 -3.8972653058516706 
48 -4.164063692450911 4 -3.8972653058516706 
49 -4.199644471214617 5 -3.8972653058516706 
50 -4.164063692450911 4 -3.8972653058516706 
51 -4.164063692450911 4 -3.8972653058516706 
52 -4.164063692450911 4 -3.8972653058516706 
53 -4.164063692450911 4 -3.8972653058516706 
54 -4.164063692450911 4 -3.8972653058516706 
55 -4.164063692450911 4 -3.8972653058516706 
56 -4.164063692450911 4 -3.8972653058516706 
57 -4.164063692450911 4 -3.8972653058516706 
58 -4.144353091426444 5 -3.8972653058516706 
59 -4.144353091426444 5 -3.8972653058516706 
60 -4.143359403059551 7 -3.8972653058516706 
61 -4.143359403059551 7 -3.8972653058516706 
62 -4.143359403059551 7 -3.8972653058516706 
63 -4.157414351350314 8 -3.8972653058516706 
64 -4.103125226462917 9 -3.8972653058516706 
65 -4.0699615700189 10 -3.8972653058516706 
66 -4.080132726446252 11 -3.8972653058516706 
67 -4.098715120260443 12 -3.8972653058516706 
68 -4.1128883760563 10 -3.8972653058516706 
69 -4.122068886972988 9 -3.8972653058516706 
70 -4.110983110041749 9 -3.8972653058516706 
71 -4.110983110041749 9 -3.8972653058516706 
72 -4.108353512797513 10 -3.8972653058516706 
73 -4.108353512797513 10 -3.8972653058516706 
74 -4.108353512797513 10 -3.8972653058516706 
75 -4.090591487946724 9 -3.8972653058516706 
76 -4.096052458150049 10 -3.8972653058516706 
77 -4.1072299078599155 10 -3.8972653058516706 
78 -4.126543891832466 12 -3.8972653058516706 
79 -4.121442944109217 13 -3.8972653058516706 
80 -4.110702296216997 13 -3.8972653058516706 
81 -4.094857457711363 14 -3.8972653058516706 
82 -4.07865040709171 13 -3.8972653058516706 
83 -4.102859805155836 14 -3.8972653058516706 
84 -4.087484464998274 15 -3.8972653058516706 
85 -4.102917053236051 16 -3.8972653058516706 
86 -4.094486540834783 18 -3.8972653058516706 
87 -4.006282067063093 14 -3.8972653058516706 
88 -3.9944295138015207 13 -3.8972653058516706 
89 -3.993276177596173 13 -3.8972653058516706 
90 -4.019611740660278 15 -3.8972653058516706 
91 -4.029644224916012 18 -3.8972653058516706 
92 -4.053743025228091 17 -3.8972653058516706 
93 -4.044771512536885 17 -3.8972653058516706 
